"version","doi_eng","doi_fra","rebased"
"1983-07","doi:10.5683/SP3/WI7MAK","doi:10.5683/SP3/EKZYQJ",""
"1983-08","doi:10.5683/SP3/MUQKQL","doi:10.5683/SP3/53BKJD",""
"1983-09","doi:10.5683/SP3/U9PQUH","doi:10.5683/SP3/RXDRU0",""
"1983-10","doi:10.5683/SP3/JI18V0","doi:10.5683/SP3/7Y5PFE",""
"1983-11","doi:10.5683/SP3/KFJYWE","doi:10.5683/SP3/5VY0MP",""
"1983-12","doi:10.5683/SP3/BDQA7P","doi:10.5683/SP3/D24F0E",""
"1984-01","doi:10.5683/SP3/EN4GNF","doi:10.5683/SP3/4PDPSM",""
"1984-02","doi:10.5683/SP3/KAGVBR","doi:10.5683/SP3/81NNBA",""
"1984-03","doi:10.5683/SP3/VMJL9V","doi:10.5683/SP3/FFK1GN",""
"1984-04","doi:10.5683/SP3/RCPIED","doi:10.5683/SP3/F5QWEV",""
"1984-05","doi:10.5683/SP3/SLEBF9","doi:10.5683/SP3/QPLFY3",""
"1984-06","doi:10.5683/SP3/FMSDTC","doi:10.5683/SP3/RPXZIM",""
"1984-07","doi:10.5683/SP3/9PTVQG","doi:10.5683/SP3/PXRBMX",""
"1984-08","doi:10.5683/SP3/RBJKMI","doi:10.5683/SP3/MKUORY",""
"1984-09","doi:10.5683/SP3/NZXFOH","doi:10.5683/SP3/VKWDTT",""
"1984-10","doi:10.5683/SP3/BSKLPC","doi:10.5683/SP3/KFSZNE",""
"1984-11","doi:10.5683/SP3/RP6JM4","doi:10.5683/SP3/1UPH5B",""
"1984-12","doi:10.5683/SP3/TVXG4X","doi:10.5683/SP3/EDQ57V",""
"1985-01","doi:10.5683/SP3/B1XYNF","doi:10.5683/SP3/MZERIN",""
"1985-02","doi:10.5683/SP3/LR4P5H","doi:10.5683/SP3/5OD7OP",""
"1985-03","doi:10.5683/SP3/LTFSPN","doi:10.5683/SP3/UA8OCG",""
"1985-04","doi:10.5683/SP3/HBOY2F","doi:10.5683/SP3/6AAPNQ",""
"1985-05","doi:10.5683/SP3/4ZIOSB","doi:10.5683/SP3/PCRJON",""
"1985-06","doi:10.5683/SP3/LRPO8Y","doi:10.5683/SP3/3BFNIT",""
"1985-07","doi:10.5683/SP3/XSJTA9","doi:10.5683/SP3/XKLOJH",""
"1985-08","doi:10.5683/SP3/RXOEKP","doi:10.5683/SP3/3QWAA9",""
"1985-09","doi:10.5683/SP3/UT8Z4B","doi:10.5683/SP3/D5X5VA",""
"1985-10","doi:10.5683/SP3/NCLAWJ","doi:10.5683/SP3/2PJGD2",""
"1985-11","doi:10.5683/SP3/AB00ZK","doi:10.5683/SP3/VEBLBU",""
"1985-12","doi:10.5683/SP3/L21P2U","doi:10.5683/SP3/H6N91L",""
"1986-01","doi:10.5683/SP3/AGB5I4","doi:10.5683/SP3/UVGAZR",""
"1986-02","doi:10.5683/SP3/2VYUGT","doi:10.5683/SP3/4SSKFL",""
"1986-03","doi:10.5683/SP3/E4QI0T","doi:10.5683/SP3/WD1PLI",""
"1986-04","doi:10.5683/SP3/RR8HVN","doi:10.5683/SP3/7JRZAG",""
"1986-05","doi:10.5683/SP3/LFQ4QL","doi:10.5683/SP3/JJFSOJ",""
"1986-06","doi:10.5683/SP3/25OUH7","doi:10.5683/SP3/FXBPMR",""
